reference_number,driving_dircetion_to_well,date_completed,well_use,drilling_method,pump_type,depth,pump_setting_depth,water_quality,casing_length,casing_mateiral,casing_diameter,screen_length,screen_material,screen_diameter,slot_size,type_of_test,test_rate,bail_test_rate,drawdown,static_water_level,bailer_drawdown,material,depth_2,installation_method,number_of_bags_used,sealing_material,well_abandonment_depth,installation_method_2,number_of_bags_used_2,county,township,range,section,topo_map,grant,field_located_by,field_located_on,courthouse_location_by,courthouse_location_on,location_accepted_verification_by,location_accepted_verification_on,subdivision_name,lot_number,ft_w_of_el,ft_n_of_sl,ft_e_of_wl,ft_s_of_nl,ground_elevation,depth_of_bedrock,bedrock_elevation,aquifer_elevation,utm_easting,utm_northing
1638,SR 27 N OF DECATUR TO 900N. E TO ROE DR. RT ON ROE DR TO NEW CONSTRUCTION,6/12/1992,Home,Rotary,Not available,108.0,Not available,SL CLDY,103.0,PVC,5.5,5.0,PVC,5.5,.051,Air,25.0 gpm for 1.0 hrs.,Not available,40.0 ft.,40.0 ft.,Not available,BN SL&EZ,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,21,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
1639,ON 100S. 300 YARDS WEST(EAST?) OF 27. NORTH SIDE OF ROAD,6/6/1992,Home,Rotary,Submersible,224.0,Not available,CLEAR,103.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,30.0 gpm,Not available,Not available,35.0 ft.,Not available,BEN SEAL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,14E,SW of the SE of the SW of Section 4,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,100.0,"1,450.0",Not available,833.0,100.0,733.0,Not available,673059,4510709
7330,2ND HOUSE S OF SR 124 ON ADAMS WELLS COUNTY LINE,5/7/1992,Home,Rotary,Not available,142.0,Not available,Not available,86.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,40.0 gpm for 2.0 hrs.,Not available,Not available,56.0 ft.,Not available,BENT,From (not available)  To (not available),Not available,4.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,13E,NW of the SW of the NW of Section 4,LINN GROVE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7415,"US RD 224 E OF DECATUR TO ST RD 101, S TO CO RD 400N E ON 400 .50 MI S SIDE",7/6/1992,Home,Rotary,Submersible,195.0,80.0,CLEAR,100.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,20.0 gpm,Not available,Not available,60.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,15E,NE of Section 16,"WREN, IN-OH",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7416,"33 BYPASS S OF DECATUR TO SALEM RD S ON SALEM RD TO 250N .50 MI W ON 250, S SIDE OF RD",8/5/1992,Home,Rotary,Submersible,250.0,55.0,CLEAR,40.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,30.0 gpm,Not available,Not available,21.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,15E,NW of Section 19,"WREN, IN-OH",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7417,ST RD 124 E ON MONROE TO 650E S 1.5 MI ON W SIDE OF RD,9/11/1992,Home,Rotary,Submersible,175.0,70.0,CLEAR,60.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,25.0 gpm,Not available,Not available,41.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,15E,SE of the NE of the NW of Section 10,WILLSHIRE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"2,550.0","1,000.0",821.0,60.0,761.0,Not available,684753,4510866
7418,"WINCHESTER RD N OF DECATUR, .50 MI S OF ADAMS ALLEN CO RD W SIDE OF WINCHESTER RD",11/17/1992,Home,Rotary,Submersible,190.0,80.0,CLEAR,70.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,25.0 gpm,Not available,Not available,37.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,13E,SE of the NW of Section 3,POE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7419,SALEM RD S OFF US RD 33 TO 1ST DR IN ADD ON RT END OF RD LF TO LAST HOUSE END OF DEAD END,11/19/1992,Home,Rotary,Submersible,100.0,35.0,CLEAR,44.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,25.0 gpm,Not available,Not available,18.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,NW of the NE of Section 13,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7420,"FROM DECATUR, US 27 N TO 200W, NE TO 1ST DRIVE TO RT IN ADDITION, 2ND HOUSE ON CURVE AT END OF ST",12/4/1992,Home,Rotary,Submersible,140.0,45.0,CLEAR,60.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,30.0 gpm,Not available,Not available,18.0 ft.,Not available,VOLCLAY,From 0 To 95,POUR,1.0,HOLE PLUG,From 0 To 95,POUR,9.0,ADAMS,28N,14E,SW of the SW of Section 8,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7421,HWY 224 E OF DECATUR TO JUNCTION 101 S TO HOUSE ON E SIDE OF RD,5/2/1992,Home,Rotary,Submersible,205.0,89.0,CLEAR,93.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,25.0 gpm,Not available,Not available,69.0 ft.,Not available,VOLCLAY,From 0 To 75,POUR,1.0,HOLE PLUG,From 0 To 75,POUR,6.0,ADAMS,28N,15E,SW of Section 32,"WREN, IN-OH",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7422,US 224 OUT OF DECATUR TO 200E N TO 800N E TO 1ST LANE/PLACE ON N SIDE OF 800N,4/8/1992,Home,Rotary,Submersible,184.0,85.0,CLEAR,91.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,20.0 gpm,Not available,Not available,65.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,SE of the SE of Section 23,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
7423,S OF HONDURAS ON E SIDE OF 500W N OF SR 124 300FT TO 1ST FARM BLDG,12/8/1992,Home,Rotary,Not available,101.0,Not available,CLEAR,73.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,40.0 gpm for 1.0 hrs.,Not available,25.0 ft.,43.0 ft.,Not available,BNSL & EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,13E,SW of the SW of Section 35,LINN GROVE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
18981,"ON S SIDE OF 900N, E OF SR 27, 3RD DRIVEWAY W OF 200E IN WOODS",10/26/1992,Home,Rotary,Not available,141.0,Not available,CLEAR,71.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,20.0 gpm for 1.0 hrs.,Not available,60.0 ft.,47.0 ft.,Not available,ENVIROGROUT,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NE of Section 23,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
23101,ON 800S BETWEEN 100E AND 150E,1/29/1993,Home,Rotary,Submersible,140.0,97.0,CLEAR,107.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,30.0 gpm,Not available,Not available,62.0 ft.,Not available,BENSEAL,From 0 To (not available),HAND,10.0,HOLEPLUG,From 0 To (not available),HAND,5.0,ADAMS,25N,14E,NE of the NE of the NW of Section 14,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"1,975.0",50.0,866.0,104.0,762.0,Not available,676822,4499505
23178,ON 1200 N BETWEEN 300W AND 350W,2/10/1993,Home,Rotary,Submersible,224.0,75.0,CLEAR,92.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,45.0 ft.,Not available,BENSEAL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,13E,NE of Section 1,POE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42878,NO 150E BETWEEN 700S. AND 800S.,9/21/1993,Home,Rotary,Submersible,107.0,77.0,CLEAR,102.0,PVC,5.0,5.0,PVC,5.0,30,Air,45.0 gpm,Not available,Not available,51.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,8.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,14E,NE of the SE of the NW of Section 11,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"2,350.0","1,800.0",852.0,Not available,Not available,745.0,676906,4500573
42879,E. SIDE OF 700W APPROX. 2 M. S. OF SR 124 ACROSS FROM APOSTOLIC CHURCH,11/23/1993,Home,Rotary,Not available,161.0,105.0,CLOUDY,108.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,35.0 gpm for 2.0 hrs.,Not available,25.0 ft.,71.0 ft.,Not available,ENVIROGROUT,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,13E,SW of the SW of Section 9,LINN GROVE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42883,N SIDE OF 300N W OF SR 27 APPROX. 2.5,3/18/1993,Home,Rotary,Not available,140.0,Not available,CLEAR,59.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,23.0 gpm for 1.0 hrs.,Not available,75.0 ft.,36.0 ft.,Not available,EZ MUD BNSL,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,SW of the SE of Section 18,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42884,ON S SIDE OF SR 124 JUST E OF CR 700W,1/5/1994,Home,Rotary,Not available,121.0,Not available,CLEAR,83.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,40.0 gpm for 1.0 hrs.,Not available,20.0 ft.,56.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,13E,NW of Section 4,LINN GROVE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
